company_name,Date,close_diff,voldiff
Vodafone Idea Ltd.,20042019,-0.6999999999999993,0.0
Tata Motors Ltd.,20042019,5.75,-0.050000000000000266
Indiabulls Housing Finance Ltd.,20042019,-31.90000000000009,0.06000000000000005
Tata Motors Ltd DVR,20042019,2.450000000000003,-0.050000000000000266
DLF Ltd.,20042019,-0.25,-0.0900000000000003
Yes Bank Ltd.,20042019,-10.649999999999977,0.10000000000000009
Zee Entertainment Enterprises Ltd.,20042019,-13.25,0.029999999999999805
InterGlobe Aviation Ltd.,20042019,-27.5,-0.04999999999999982
Hindustan Petroleum Corporation Ltd.,20042019,1.9500000000000455,-0.07000000000000028
Steel Authority of India Ltd.,20042019,-1.3500000000000014,0.0
Motherson Sumi Systems Ltd.,20042019,-1.049999999999983,-0.06999999999999984
Vedanta Ltd.,20042019,-6.349999999999994,0.0900000000000003
General Insurance Corporation of India,20042019,9.300000000000011,0.1299999999999999
Bank of Baroda,20042019,-4.3500000000000085,0.10999999999999988
ICICI Prudential Life Insurance Company Ltd.,20042019,1.3000000000000114,-0.06000000000000005
Indian Oil Corporation Ltd.,20042019,0.4000000000000057,-0.06000000000000005
Bajaj Holdings & Investment Ltd.,20042019,-14.699999999999818,-0.05999999999999961
Bharti Airtel Ltd.,20042019,-1.8000000000000114,-0.06000000000000005
Bharat Petroleum Corporation Ltd.,20042019,5.399999999999977,-0.03000000000000025
Bandhan Bank Ltd.,20042019,10.200000000000045,-0.009999999999999787
Ashok Leyland Ltd.,20042019,-0.5999999999999943,-0.05999999999999983
Bharat Heavy Electricals Ltd.,20042019,-0.6500000000000057,-0.0499999999999996
Page Industries Ltd.,20042019,-250.6999999999971,-0.039999999999999813
IndusInd Bank Ltd.,20042019,-50.850000000000136,0.07000000000000006
Hindalco Industries Ltd.,20042019,-7.75,0.16999999999999993
Avenue Supermarts Ltd.,20042019,-52.15000000000009,0.18999999999999995
The New India Assurance Company Ltd.,20042019,0.5500000000000114,-0.06000000000000005
Tata Steel Ltd.,20042019,-10.149999999999977,0.0
Shriram Transport Finance Co. Ltd.,20042019,-13.949999999999818,-0.03000000000000025
Adani Ports and Special Economic Zone Ltd.,20042019,-5.099999999999966,-0.03000000000000025
Eicher Motors Ltd.,20042019,-246.64999999999782,-0.030000000000000027
HDFC Life Insurance Company Ltd.,20042019,-2.1999999999999886,-0.050000000000000044
Tata Consultancy Services Ltd.,20042019,18.25,-0.040000000000000036
L&T Finance Holdings Ltd.,20042019,-3.0,0.019999999999999796
Wipro Ltd.,20042019,3.900000000000034,-0.02000000000000024
GAIL (India) Ltd.,20042019,0.3499999999999659,-0.050000000000000044
NTPC Ltd.,20042019,-2.200000000000017,0.0
Lupin Ltd.,20042019,2.849999999999909,-0.04999999999999982
Oil & Natural Gas Corporation Ltd.,20042019,0.15000000000000568,-0.050000000000000044
ICICI Lombard General Insurance Company Ltd.,20042019,12.299999999999955,-0.03000000000000025
JSW Steel Ltd.,20042019,7.949999999999989,0.09999999999999987
Bharti Infratel Ltd.,20042019,-5.75,0.020000000000000018
SBI Life Insurance Company Ltd.,20042019,-2.800000000000068,-0.050000000000000044
ICICI Bank Ltd.,20042019,-2.6000000000000227,-0.040000000000000036
Piramal Enterprises Ltd.,20042019,-23.09999999999991,-0.030000000000000027
ACC Ltd.,20042019,-3.5499999999999545,-0.050000000000000044
Coal India Ltd.,20042019,-0.15000000000000568,-0.050000000000000044
Reliance Industries Ltd.,20042019,42.200000000000045,0.16999999999999993
Divi's Laboratories Ltd.,20042019,9.75,-0.040000000000000036
United Spirits Ltd.,20042019,-3.2999999999999545,-0.040000000000000036
Hero MotoCorp Ltd.,20042019,1.900000000000091,-0.040000000000000036
HCL Technologies Ltd.,20042019,-4.399999999999864,-0.040000000000000036
Grasim Industries Ltd.,20042019,-16.299999999999955,0.030000000000000027
Bajaj Finance Ltd.,20042019,-18.050000000000182,-0.040000000000000036
Petronet LNG Ltd.,20042019,-0.6999999999999886,-0.039999999999999813
State Bank of India,20042019,-4.949999999999989,0.009999999999999787
Sun Pharmaceutical Industries Ltd.,20042019,0.6499999999999773,-0.039999999999999813
Asian Paints Ltd.,20042019,10.599999999999909,-0.03000000000000025
ABB India Ltd.,20042019,25.149999999999864,0.030000000000000027
Ambuja Cements Ltd.,20042019,1.4000000000000057,-0.029999999999999805
Pidilite Industries Ltd.,20042019,-36.25,0.16000000000000014
United Breweries Ltd.,20042019,-22.450000000000045,0.020000000000000018
Maruti Suzuki India Ltd.,20042019,-11.100000000000364,-0.04000000000000026
UltraTech Cement Ltd.,20042019,4.899999999999636,-0.04000000000000026
MRF Ltd.,20042019,-243.90000000000146,-0.040000000000000036
Siemens Ltd.,20042019,-5.75,-0.039999999999999813
NMDC Ltd.,20042019,0.7000000000000028,-0.030000000000000027
Havells India Ltd.,20042019,-0.4499999999999318,-0.040000000000000036
Shree Cement Ltd.,20042019,98.34999999999854,-0.030000000000000027
NHPC Ltd.,20042019,-0.3500000000000014,0.010000000000000009
Container Corporation of India Ltd.,20042019,8.849999999999909,0.040000000000000036
Infosys Ltd.,20042019,-7.050000000000068,-0.020000000000000018
UPL Ltd.,20042019,0.14999999999997726,-0.040000000000000036
Cadila Healthcare Ltd.,20042019,-1.3999999999999773,-0.030000000000000027
Godrej Consumer Products Ltd.,20042019,-0.5500000000000682,-0.040000000000000036
Cipla Ltd.,20042019,2.199999999999932,-0.030000000000000027
Kotak Mahindra Bank Ltd.,20042019,-16.75,0.0
Mahindra & Mahindra Ltd.,20042019,-3.4500000000000455,-0.030000000000000027
Larsen & Toubro Ltd.,20042019,-20.700000000000045,0.020000000000000018
Aurobindo Pharma Ltd.,20042019,7.149999999999977,-0.010000000000000009
Power Grid Corporation of India Ltd.,20042019,-2.549999999999983,0.010000000000000009
Axis Bank Ltd.,20042019,0.10000000000002274,-0.040000000000000036
Biocon Ltd.,20042019,-7.2999999999999545,0.0
Dr. Reddy's Laboratories Ltd.,20042019,-26.0,-0.010000000000000009
Marico Ltd.,20042019,2.1000000000000227,-0.030000000000000027
HDFC Asset Management Company Ltd.,20042019,5.4500000000000455,-0.030000000000000027
Dabur India Ltd.,20042019,-4.050000000000011,-0.010000000000000231
Bajaj Finserv Ltd.,20042019,-7.800000000000182,-0.030000000000000027
Tech Mahindra Ltd.,20042019,2.25,-0.030000000000000027
Titan Company Ltd.,20042019,5.350000000000136,-0.030000000000000027
Colgate Palmolive (India) Ltd.,20042019,-4.9500000000000455,-0.029999999999999805
ITC Ltd.,20042019,-2.8000000000000114,-0.009999999999999787
Bajaj Auto Ltd.,20042019,1.050000000000182,-0.030000000000000027
Oracle Financial Services Software Ltd.,20042019,-34.5,-0.010000000000000231
Procter & Gamble Hygiene & Health Care Ltd.,20042019,-2.75,-0.030000000000000027
